<node>	<field>	<description>	<type>	<terms>	<pattern>	<maximum>	<minimum>	<options1>	<options2>	<options3>	<options4>	<options5>	<options6>	<options7>	<options8>
read_group	RIN		number	_terms.yaml#/RIN											
read_group	flow_cell_barcode		string	_terms.yaml#/flow_cell_barcode											
read_group	includes_spike_ins		boolean	_terms.yaml#/includes_spike_ins											
read_group	spike_ins_fasta		string	_terms.yaml#/spike_ins_fasta											
read_group	spike_ins_concentration		string	_terms.yaml#/spike_ins_concentration											
read_group	library_selection		enum	_terms.yaml#/library_selection				Hybrid_Selection | PCR | Affinity_Enrichment | Poly-T_Enrichment | RNA_Depletion | Other 							
read_group	library_preparation_kit_name		string	_terms.yaml#/library_preparation_kit_name											
read_group	library_preparation_kit_vendor		string	_terms.yaml#/library_preparation_kit_vendor											
read_group	library_preparation_kit_catalog_number		string	_terms.yaml#/library_preparation_kit_catalog_number											
read_group	library_preparation_kit_version		string	_terms.yaml#/library_preparation_kit_version											
read_group	library_name		string	_terms.yaml#/library_name											
read_group	target_capture_kit_name		string	_terms.yaml#/target_capture_kit_name											
read_group	target_capture_kit_vendor		string	_terms.yaml#/target_capture_kit_vendor											
read_group	target_capture_kit_catalog_number		string	_terms.yaml#/target_capture_kit_catalog_number											
read_group	target_capture_kit_version		string	_terms.yaml#/target_capture_kit_version											
read_group	target_capture_kit_target_region		string	_terms.yaml#/target_capture_kit_target_region											
read_group	size_selection_range		string	_terms.yaml#/size_selection_range											
read_group	adapter_name		string	_terms.yaml#/adapter_name											
read_group	adapter_sequence		string	_terms.yaml#/adapter_sequence											
read_group	to_trim_adapter_sequence		boolean	_terms.yaml#/to_trim_adapter_sequence											
read_group	library_strand		enum	_terms.yaml#/library_strand				Unstranded | First_Stranded | Second_Stranded 							
read_group	base_caller_name		string	_terms.yaml#/base_caller_name											
read_group	base_caller_version		string	_terms.yaml#/base_caller_version											
read_group	is_paired_end		boolean	_terms.yaml#/is_paired_end											
read_group	read_length		integer	_terms.yaml#/read_length											
read_group	read_group_name	Read Group Name	string												
read_group	barcoding_applied	True/False: was barcoding applied?	boolean												
read_group	created_datetime			_definitions.yaml#/datetime											
read_group	updated_datetime			_definitions.yaml#/datetime											
summary_mutation_panel	gene_name	"Name of gene
"	string												
summary_mutation_panel	high_confidence	"'No': Nonsynonymous SNPs that do not have high confidence of association with drug resistance as determined by analysis performed by ReSeqTB or are not listed in ReSeqTB. 'Yes': Nonsynonymous SNPs with high confidence of association with drug resistance as determined by analysis performed by ReSeqTB. 'Null': Synonymous SNPs associated with drug resistance in the literature but not entered in ReSeqTB.
"	boolean												
summary_mutation_panel	hain	"Genomic single-nucleotide polymorphisms that are tested by the Hain Genotype MTBDRplus and MTBDRsl assays. The value will be 'Yes' if a patient's genomic sequence had a variant in a SNP that is identified by a Hain assay.
"	boolean												
summary_mutation_panel	genexpert	"Genexpert MTB / RIF test to carry out the detection of the presence of Mycobacterium tuberculosis in a sample of diagnostic material and resistance to rifampicin in less than two hours.
"	boolean												
summary_mutation_panel	snp	"Name of the single nucleotide polymorphisms that have been detected.
"	string												
summary_mutation_panel	snp_result	"The result of detected snp. 0 represents reference allele, and 1 represents alternative allele.
"	integer												
summary_mutation_panel	ncbi_sra	"Run code of the raw file in sequence read archive (SRA) that the snp result derived from.
"	string												
supplementary_file	file_description	"Free text to expand upon details for this file
"	string												
supplementary_file	data_type	"Study file type
"	enum					Adverse Events | Assessment Results | Case Report Form | Concomitant Medications | Data Dictionary | Demographics | Interventions | Lab Test Results | Study Data | Study Medication | Study Summary Description | Substance Use 							
supplementary_file	data_category		['string']	_terms.yaml#/data_category											
supplementary_file	data_format		['string']	_terms.yaml#/data_format											
supplementary_file	protocol_description	"Free text to expand upon details
"	string												
summary_drug_use	aztv	"Used AZT (92) at visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	azt	"Used AZT (92) since last visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	ddcv	"Used ddC (94) at visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	ddc	"Used ddC (94) since last visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	ddiv	"Used ddI (147) at visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	ddi	"Used ddI (147) since last visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	d4tv	"Used d4T (159) at visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	d4t	"Used d4T (159) since last visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	lamv	"Used Lamivudine (3TC) (204) at visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	lam	"Used Lamivudine (3TC) (204) since last visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	abcv	"Used Abacavir (218) at visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	abc	"Used Abacavir (218) since last visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	cbvv	"Used Combivir (AZT/3TC) (227) at visit (no summ)
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	cbv	"Used Combivir (AZT/3TC) (227) since last visit (no summ)
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	nvpv	"Used Nevirapine (191) at visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	nvp	"Used Nevirapine (191) since last visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	dlvv	"Used Delavirdine (194) at visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	dlv	"Used Delavirdine (194) since last visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	efvv	"Used Sustiva (220) at visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	efv	"Used Sustiva (220) since last visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	sqvv	"Used Saquinavir (210) at visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	sqv	"Used Saquinavir (210) since last visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	rtvv	"Used Ritonavir (211) at visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	rtv	"Used Ritonavir (211) since last visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	idvv	"Used Indinavir (212) at visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	idv	"Used Indinavir (212) since last visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	nfvv	"Used Nelfinavir (216) at visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	nfv	"Used Nelfinavir (216) since last visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	apvv	"Used Amprenavir (219) at visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	apv	"Used Amprenavir (219) since last visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	lpvv	"Used Lopinavir (217) at visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	lpv	"Used Lopinavir (217) since last visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	tzvv	"Used Trizivir (AZT/3TC/ABC) (240) at visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	tzv	"Used Trizivir (AZT/3TC/ABC) (240) since last visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	tdfv	"Used Tenofovir (234) at visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	tdf	"Used Tenofovir (234) since last visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	hxuv	"Used Hydroxyurea (207) at visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	hxu	"Used Hydroxyurea (207) since last visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	enfv	"Used Fuzeon T20 (233) at visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	enf	"Used Fuzeon T20 (233) since last visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	ftcv	"Used FTC Emtriva (239) at visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	ftc	"Used FTC Emtriva(239) since last visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	atzv	"Used Atazanavir (243) at visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	atz	"Used Atazanavir (243) since last visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	fpvv	"Used Fosamprenavir (249) at visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	fpv	"Used Fosamprenavir (249) since last visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	truv	"Used Truvada (TDF/FTC) (253) at visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	tru	"Used Truvada (TDF/FTC) (253) since last visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	epzv	"Used Epzicom (ABC/LAM) (254) at visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	epz	"Used Epzicom (ABC/LAM) (254) since last visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	tpvv	"Used Tipranavir(Aptivus) (238) at visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	tpv	"Used Tipranavir(Aptivus) (238) since last visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	drvv	"Used Darunavir(TMC-114) (256) at visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	drv	"Used Darunavir(TMC-114) (256) since last visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	atpv	"Used Atripla(EFV/TDF/FTC) (262) at visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	atp	"Used Atripla(EFV/TDF/FTC) (262) since last visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	slzv	"Used Selzentry (maraviroc) (265) at visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	slz	"Used Selzentry (maraviroc) (265) since last visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	etvv	"Used Intelence (etravirine, TMC-125) (255) at visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	etv	"Used Intelence (etravirine, TMC-125) (255) since last visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	istv	"Used Isentress (raltegravir, MK-0518) (264) at visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	ist	"Used Isentress (raltegravir, MK-0518) (264) since last visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	sbdv	"Used Stribild (287) at visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	sbd	"Used Stribild (287) since last visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	nrti	"Number of Nucleoside-RTIs used since last visit
"	integer												
summary_drug_use	nrtiv	"Number of Nucleoside-RTIs using at visit
"	integer												
summary_drug_use	nnrti	"Number of Non-Nucleoside RTIs used since last visit
"	integer												
summary_drug_use	nnrtiv	"Number of Non-Nucleoside RTIs using at visit
"	integer												
summary_drug_use	pi	"Number of Protease Inhibs used since last visit
"	integer												
summary_drug_use	piv	"Number of Protease Inhibs using at visit
"	integer												
summary_drug_use	ei	"Number of Entry inhibitors used since last visit
"	integer												
summary_drug_use	eiv	"Number of Entry inhibitors using at visit
"	integer												
summary_drug_use	ii	"Number of Integrase inhibitors used since last visit
"	integer												
summary_drug_use	iiv	"Number of Integrase inhibitors using at visit
"	integer												
summary_drug_use	thrpy	"Type of therapy used since last visit, simplified definition suggested on June 2, 2009
"	enum					No therapy | Mono therapy | Combination therapy | HAART | HAART (HU/ddI defined) | unknown regimen | Missing 							
summary_drug_use	thrpyv	"Type of therapy used at visit, simplified definition suggested on June 2, 2009
"	enum					No therapy | Mono therapy | Combination therapy | HAART | HAART (HU/ddI defined) | unknown regiemn | Potent ART | Missing 							
summary_drug_use	adh	"How often took antiretrovirals as prescribed over past 6 months (start from visit 9 and after)
"	enum					100% of the time | 95-99% of the time | 75-94% of the time | < 75% of the time | I haven't taken any of my prescribed medications | NA (Skipped) | Refusal | Unknown | Missing 							
summary_drug_use	tmpv	"Used Bactrim (112) at visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	tmp	"Used Bactrim (112) since last visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	dpsv	"Used Dapsone (113) at visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	dps	"Used Dapsone (113) since last visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	apnv	"Used aerosolized Pentamidine (114) at visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	apn	"Used aerosolized Pentamidine (114) since last visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	itfv	"Used interferon (90) at visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	itf	"Used interferon (90) since last visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	mepv	"Used Atovaquone (190) at visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	mep	"Used Atovaquone (190) since last visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	epov	"Used epogen (117) at visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	epo	"Used epogen (117) since last visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	neuv	"Used neupogen (157) at visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	neu	"Used neupogen (157) since last visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	nanv	"Used nandralone (232) at visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	nan	"Used nandralone (232) since last visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	rebv	"Used rebetron(235) at visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	reb	"Used rebetron(235) since last visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	ktzv	"Used Ketocanazole (127) at visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	ktz	"Used Ketocanazole (127) since last visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	itzv	"Used Itraconazole (169) at visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	itz	"Used Itraconazole (169) since last visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	flzv	"Used Fluconazole (116) at visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	flz	"Used Fluconazole (116) since last visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	ambv	"Used Amphoceterin B (124) at visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	amb	"Used Amphoceterin B (124) since last visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	nysv	"Used Nystatin (144) at visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	nys	"Used Nystatin (144) since last visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	mcxv	"Used Mycelex (145) at visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	mcx	"Used Mycelex (145) since last visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	monv	"Used Monistat (229) at visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	mon	"Used Monistat (229) since last visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	trzv	"Used Terazol (230) at visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	trz	"Used Terazol (230) since last visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	pegv	"Used  pegasys (242) at visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	peg	"Used pegasys (242) since last visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	aziv	"Used Azithromycin (zithromax) (152) at visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	azi	"Used Azithromycin (zithromax) (152) since last visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	cipv	"Used Ciprofloxacin (CIPRO) (153) at visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	cip	"Used Ciprofloxacin (CIPRO) (153) since last visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	clav	"Used Clarithromycin (Biaxin) (184) at visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	cla	"Used Clarithromycin (Biaxin) (184) since last visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	horv	"Used hormones (507) at visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	hor	"Used  hormones (507) since last visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	rifv	"Used Rifabutin (Mycobutin) (93) at visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	rif	"Used Rifabutin (Mycobutin) (93) since last visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	ethv	"Used Ethambutol (137) at visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	eth	"Used Ethambutol (137) since last visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	iszv	"Used Isoniazid (138) at visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	isz	"Used Isoniazid (138) since last visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	rfmv	"Used Rifampin (Rifidin) (139) at visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	rfm	"Used Rifampin (Rifidin) (138) since last visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	pyzv	"Used Pyrazinamide (182) at visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	pyz	"Used Pyrazinamide (182) since last visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	acvv	"Used Acyclovir (146) at visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	acv	"Used Acyclovir (146) since last visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	fcvv	"Used Famcyclovir (213) at visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	fcv	"Used Famcyclovir (213) since last visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	vcvv	"Used Valcyclovir (198) at visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	vcv	"Used Valcyclovir (198) since last visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	fscv	"Used Foscarnet (91) at visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	fsc	"Used Foscarnet (91) since last visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	gcvv	"Used Ganciclovir (DHPG) (125) at visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	gcv	"Used Ganciclovir (DHPG) (125) since last visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	vczv	"Used Vfend (Voriconazole) (247) at visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	vcz	"Used Vfend (Voriconazole) (247) since last visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	prdv	"Used prednisone (704) at visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	prd	"Used prednisone (704) since last visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	mplv	"Used methyl-prednisolone (705) at visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	mpl	"Used methyl-prednisolone (705) since last visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	pdlv	"Used prednisolone (707) at visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	pdl	"Used prednisolone (707) since last visit
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	rpvv	"Used rilpivirine (276) at visit (added at visit 34)
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	rpv	"Used rilpivirine (276) since last visit (added at visit 34)
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	cprv	"Used complera (280) at visit (added at visit 34)
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	cpr	"Used complera (280) since last visit (added at visit 34)
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	cobv	"Used cobicistat (283) at visit (added at visit 37)
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	cob	"Used cobicistat (283) since last visit (added at visit 37)
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	elvv	"Used elvitegravir  (284) at visit (added at visit 37)
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	elv	"Used elvitegravir  (284) since last visit (added at visit 37)
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	dgtv	"Used dolutegravir  (286) at visit (added at visit 39)
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	dgt	"Used dolutegravir  (286) since last visit (added at visit 39)
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	tumv	"Used Triumeq  (293) at visit (added at visit 40)
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	tum	"Used Triumeq  (293) since last visit (added at visit 40)
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	przv	"Used Prezcobix  (295) at visit (added at visit 40)
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	prz	"Used Prezcobix  (295) since last visit (added at visit 40)
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	evov	"Used Evotaz  (296) at visit (added at visit 40)
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	evo	"Used Evotaz  (296) since last visit (added at visit 40)
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	ecftv	"Used genvoya  (290) at visit (added at visit 44)
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	ecft	"Used genvoya  (290) since last visit (added at visit 44)
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	dcvv	"Used descovy  (308) at visit (added at visit 44)
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	dcv	"Used descovy  (308) since last visit (added at visit 44)
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	odfv	"Used odefsey  (306) at visit (added at visit 44)
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	odf	"Used odefsey  (306) since last visit (added at visit 44)
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	tafv	"Used alafenamide tenofovir (305) at visit (added at visit 44)
"	enum					No | Yes | Uncertain | Missing 							
